alcaldia,colonia,codigo_postal,tipo_poblacion,ult_grado_estudios,estatus_estudios,categoria_profesion,profesion,estado_civil,dependientes_economicos,num_dependientes_economicos,tiempo_buscando_empleo,estatus
ALVARO OBREGON,1A VICTORIA,1160,POBLACION GENERAL,LICENCIATURA,TRUNCO,NA,NA,NA,NA,NA,NA,NO APROBADO
ALVARO OBREGON,1A VICTORIA,1160,POBLACION GENERAL,PRIMARIA,CONCLUIDO,NA,NA,NA,NA,NA,NA,NO APROBADO
ALVARO OBREGON,1A VICTORIA,1160,POBLACION GENERAL,PRIMARIA,TRUNCO,NA,NA,NA,NA,NA,MAS DE 1 AÑO,APROBADO
ALVARO OBREGON,1A VICTORIA,1160,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,NA,NA,NA,NA,NA,0 A 3 MESES,APROBADO
ALVARO OBREGON,1A VICTORIA,1160,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,Otros,NINGUNO,PERSONA CASADA,SIN DEPENDIENTES,0,6 MESES A 1 AÑO,APROBADO
ALVARO OBREGON,1A VICTORIA,1160,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,Otros,NINGUNA,PERSONA SOLTERA,CON DEPENDIENTES,2,0 A 3 MESES,APROBADO
ALVARO OBREGON,1A VICTORIA,1160,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,NA,NA,NA,NA,NA,NA,NO APROBADO
ALVARO OBREGON,1A VICTORIA,1160,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,NA,NA,NA,NA,NA,6 MESES A 1 AÑO,NO APROBADO
ALVARO OBREGON,2A AMPLIACION PRESIDENTES,1299,POBLACION GENERAL,BACHILLERATO,CONCLUIDO,NA,NA,NA,NA,NA,NA,APROBADO
ALVARO OBREGON,2A AMPLIACION PRESIDENTES,1299,POBLACION GENERAL,BACHILLERATO,CONCLUIDO,NA,NA,NA,NA,NA,NA,NO APROBADO
ALVARO OBREGON,2A AMPLIACION PRESIDENTES,1299,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,NA,NA,NA,NA,NA,NA,APROBADO
ALVARO OBREGON,2A AMPLIACION PRESIDENTES,1299,POBLACION GENERAL,LICENCIATURA,TRUNCO,NA,NA,PERSONA SOLTERA,CON DEPENDIENTES,1,0 A 3 MESES,APROBADO
ALVARO OBREGON,2A AMPLIACION PRESIDENTES,1299,POBLACION GENERAL,LICENCIATURA,TRUNCO,NA,NA,NA,NA,NA,NA,NO APROBADO
ALVARO OBREGON,2A AMPLIACION PRESIDENTES,1299,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,NA,NA,PERSONA SOLTERA,CON DEPENDIENTES,1,6 MESES A 1 AÑO,APROBADO
ALVARO OBREGON,2A AMPLIACION PRESIDENTES,1299,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,NA,NA,PERSONA CASADA,CON DEPENDIENTES,2,MAS DE 1 AÑO,APROBADO
ALVARO OBREGON,2A AMPLIACION PRESIDENTES,1299,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,Otros,NINGUNA,PERSONA SOLTERA,CON DEPENDIENTES,1,0 A 3 MESES,APROBADO
ALVARO OBREGON,2A SECCION CAÑADA,1269,POBLACION GENERAL,BACHILLERATO,CONCLUIDO,NA,NA,NA,NA,NA,NA,NO APROBADO
ALVARO OBREGON,2A SECCION CAÑADA,1269,POBLACION GENERAL,BACHILLERATO,TRUNCO,NA,NA,NA,NA,NA,NA,NO APROBADO
ALVARO OBREGON,2A SECCION CAÑADA,1269,POBLACION GENERAL,LICENCIATURA,TRUNCO,NA,NA,NA,NA,NA,NA,NO APROBADO
ALVARO OBREGON,2A SECCION CAÑADA,1269,POB. PRIOR. PRE Y LIBERADOS,SECUNDARIA,CONCLUIDO,NA,NA,PERSONA CASADA,CON DEPENDIENTES,1,0 A 3 MESES,APROBADO
ALVARO OBREGON,2O REACOMODO TLACUITLAPA,1650,POBLACION GENERAL,BACHILLERATO,CONCLUIDO,NA,NA,NA,NA,NA,0 A 3 MESES,APROBADO
ALVARO OBREGON,2O REACOMODO TLACUITLAPA,1650,POBLACION GENERAL,BACHILLERATO,CONCLUIDO,NA,NA,NA,NA,NA,NA,NO APROBADO
ALVARO OBREGON,2O REACOMODO TLACUITLAPA,1650,POB. PRIOR. AGRICULTORES AFECTADOS,BACHILLERATO,CONCLUIDO,NA,NA,PERSONA SOLTERA,CON DEPENDIENTES,1,0 A 3 MESES,APROBADO
ALVARO OBREGON,2O REACOMODO TLACUITLAPA,1650,POBLACION GENERAL,BACHILLERATO,TRUNCO,NA,NA,PERSONA SOLTERA,CON DEPENDIENTES,2,0 A 3 MESES,APROBADO
ALVARO OBREGON,2O REACOMODO TLACUITLAPA,1650,POBLACION GENERAL,LICENCIATURA,TRUNCO,NA,NA,NA,NA,NA,NA,APROBADO
ALVARO OBREGON,2O REACOMODO TLACUITLAPA,1650,POB. PRIOR. AGRICULTORES AFECTADOS,PRIMARIA,CONCLUIDO,NA,NA,PERSONA SOLTERA,CON DEPENDIENTES,3,0 A 3 MESES,APROBADO
ALVARO OBREGON,8 DE AGOSTO,1180,POBLACION GENERAL,BACHILLERATO,CONCLUIDO,NA,NO,PERSONA SOLTERA,CON DEPENDIENTES,1,3 A 6 MESES,APROBADO
ALVARO OBREGON,8 DE AGOSTO,1180,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,NA,NA,NA,NA,NA,NA,APROBADO
ALVARO OBREGON,ABRAHAM M. GONZALEZ,1170,POB. PRIOR. PRE Y LIBERADOS,BACHILLERATO,TRUNCO,NA,NA,PERSONA SOLTERA,CON DEPENDIENTES,1,3 A 6 MESES,APROBADO
ALVARO OBREGON,ABRAHAM M. GONZALEZ,1170,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,NA,NA,PERSONA SOLTERA,SIN DEPENDIENTES,0,0 A 3 MESES,APROBADO
ALVARO OBREGON,ABRAHAM M. GONZALEZ,1170,POBLACION GENERAL,TECNICA/COMERCIAL,CONCLUIDO,NA,NA,NA,NA,NA,NA,APROBADO
ALVARO OBREGON,ACUEDUCTO,1120,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,Otros,ADMINISTRADORES Y MERCADOLOGOS,PERSONA SOLTERA,CON DEPENDIENTES,1,MAS DE 1 AÑO,APROBADO
ALVARO OBREGON,ACUEDUCTO,1120,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,Comercio,REL COMERCIALES,PERSONA SOLTERA,SIN DEPENDIENTES,0,0 A 3 MESES,APROBADO
ALVARO OBREGON,ACUEDUCTO,SIN DATO,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,NA,NA,NA,NA,NA,NA,APROBADO
ALVARO OBREGON,ACUEDUCTO,1120,POBLACION GENERAL,LICENCIATURA,TRUNCO,Profesionistas,TECNICO CONTABILIDAD FISCAL FINANCIERA,PERSONA SOLTERA,CON DEPENDIENTES,1,0 A 3 MESES,NO APROBADO
ALVARO OBREGON,ACUEDUCTO,1120,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,NA,NA,NA,NA,NA,NA,NO APROBADO
ALVARO OBREGON,ACUEDUCTO,1120,POBLACION GENERAL,TECNICA/COMERCIAL,TRUNCO,NA,NA,NA,NA,NA,NA,NO APROBADO
ALVARO OBREGON,ALFALFAR,1470,POBLACION GENERAL,BACHILLERATO,TRUNCO,Profesionistas,NO APLICA,PERSONA CASADA,CON DEPENDIENTES,3,6 MESES A 1 AÑO,APROBADO
ALVARO OBREGON,ALFONSO XIII,1460,POBLACION GENERAL,BACHILLERATO,CONCLUIDO,Otros,NINGUNO,PERSONA SOLTERA,SIN DEPENDIENTES,0,0 A 3 MESES,APROBADO
ALVARO OBREGON,ALFONSO XIII,1460,POBLACION GENERAL,BACHILLERATO,TRUNCO,NA,NA,PERSONA CASADA,CON DEPENDIENTES,2,0 A 3 MESES,APROBADO
ALVARO OBREGON,ALFONSO XIII,1460,POBLACION GENERAL,BACHILLERATO,CONCLUIDO,NA,NA,PERSONA SOLTERA,CON DEPENDIENTES,1,0 A 3 MESES,APROBADO
ALVARO OBREGON,ALFONSO XIII,1460,POBLACION GENERAL,BACHILLERATO,CONCLUIDO,NA,NA,NA,NA,NA,NA,NO APROBADO
ALVARO OBREGON,ALFONSO XIII,1460,POBLACION GENERAL,BACHILLERATO,CONCLUIDO,Otros,NINGUNA,PERSONA SOLTERA,CON DEPENDIENTES,1,6 MESES A 1 AÑO,NO APROBADO
ALVARO OBREGON,ALFONSO XIII,1460,POB. PRIORITARIA AGRICULTORES AFECTADO,BACHILLERATO,CONCLUIDO,NA,NA,NA,NA,NA,NA,APROBADO
ALVARO OBREGON,ALFONSO XIII,1460,POBLACION GENERAL,BACHILLERATO,CONCLUIDO,NA,NA,PERSONA SOLTERA,SIN DEPENDIENTES,0,3 A 6 MESES,NO APROBADO
ALVARO OBREGON,ALFONSO XIII,1460,POBLACION GENERAL,BACHILLERATO,CONCLUIDO,Otros,NINGUNO,PERSONA SOLTERA,CON DEPENDIENTES,2,6 MESES A 1 AÑO,APROBADO
ALVARO OBREGON,ALFONSO XIII,1460,POBLACION GENERAL,BACHILLERATO,TRUNCO,NA,NA,NA,NA,NA,NA,APROBADO
ALVARO OBREGON,ALFONSO XIII,1460,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,Profesionistas,CONTADORES Y AUDITORES,PERSONA CASADA,CON DEPENDIENTES,4,6 MESES A 1 AÑO,APROBADO
ALVARO OBREGON,ALFONSO XIII,1460,POBLACION GENERAL,LICENCIATURA,TRUNCO,NA,NA,NA,NA,NA,NA,NO APROBADO
ALVARO OBREGON,ALFONSO XIII,1460,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,NA,NA,NA,NA,NA,NA,APROBADO
ALVARO OBREGON,ALFONSO XIII,1460,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,NA,NA,NA,NA,NA,NA,APROBADO
ALVARO OBREGON,ALFONSO XIII,1460,POBLACION GENERAL,LICENCIATURA,TRUNCO,Otros,ING CIVIL,PERSONA CASADA,CON DEPENDIENTES,3,3 A 6 MESES,APROBADO
ALVARO OBREGON,ALFONSO XIII,1460,POBLACION GENERAL,LICENCIATURA,TRUNCO,Otros,INGENIERO INDUSTRIAL,PERSONA SOLTERA,SIN DEPENDIENTES,0,6 MESES A 1 AÑO,NO APROBADO
ALVARO OBREGON,ALFONSO XIII,1460,POB. PRIORITARIA HUESPEDES,LICENCIATURA,CONCLUIDO,NA,NA,NA,NA,NA,NA,APROBADO
ALVARO OBREGON,ALFONSO XIII,1460,POBLACION GENERAL,LICENCIATURA,TRUNCO,Profesionistas,ACTUARIA,PERSONA SOLTERA,CON DEPENDIENTES,1,0 A 3 MESES,APROBADO
ALVARO OBREGON,ALFONSO XIII,1460,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,NA,NA,NA,NA,NA,NA,NO APROBADO
ALVARO OBREGON,ALFONSO XIII,1460,POBLACION GENERAL PROCURADURIA,LICENCIATURA,CONCLUIDO,Otros,ADMINISTRACION,PERSONA SOLTERA,CON DEPENDIENTES,2,0 A 3 MESES,APROBADO
ALVARO OBREGON,ALFONSO XIII,1460,POBLACION GENERAL,LICENCIATURA,TRUNCO,NA,NA,NA,NA,NA,0 A 3 MESES,APROBADO
ALVARO OBREGON,ALFONSO XIII,1460,POBLACION GENERAL,LICENCIATURA,TRUNCO,Técnico,ARQUITECTO,PERSONA SOLTERA,CON DEPENDIENTES,2,0 A 3 MESES,APROBADO
ALVARO OBREGON,ALFONSO XIII,1460,POBLACION GENERAL,POSGRADO,CONCLUIDO,NA,NA,NA,NA,NA,NA,NO APROBADO
ALVARO OBREGON,ALFONSO XIII,SIN DATO,POB. PRIORITARIA AGRICULTORES AFECTADO,POSGRADO,CONCLUIDO,NA,NA,NA,NA,NA,NA,APROBADO
ALVARO OBREGON,ALFONSO XIII,1460,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,NA,NA,NA,NA,NA,NA,NO APROBADO
ALVARO OBREGON,ALFONSO XIII,1460,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,Otros,NINGUNA,PERSONA SOLTERA,CON DEPENDIENTES,2,0 A 3 MESES,APROBADO
ALVARO OBREGON,ALFONSO XIII,1460,POBLACION GENERAL,TECNICA/COMERCIAL,CONCLUIDO,NA,NA,NA,NA,NA,NA,NO APROBADO
ALVARO OBREGON,ALFONSO XIII,1460,POBLACION GENERAL,TECNICA/COMERCIAL,TRUNCO,NA,NA,NA,NA,NA,NA,NO APROBADO
ALVARO OBREGON,ALTAVISTA,1060,POBLACION GENERAL,BACHILLERATO,CONCLUIDO,NA,NA,NA,NA,NA,NA,NO APROBADO
ALVARO OBREGON,AMPLIACION ACUEDUCTO,1125,POBLACION GENERAL,BACHILLERATO,CONCLUIDO,NA,NA,PERSONA SOLTERA,CON DEPENDIENTES,1,0 A 3 MESES,APROBADO
ALVARO OBREGON,AMPLIACION ACUEDUCTO,1125,POB. PRIOR. PRE Y LIBERADOS,SECUNDARIA,CONCLUIDO,NA,NA,PERSONA SOLTERA,CON DEPENDIENTES,3,0 A 3 MESES,APROBADO
ALVARO OBREGON,AMPLIACION ALPES,1710,POBLACION GENERAL,LICENCIATURA,TRUNCO,NA,NA,NA,NA,NA,NA,NO APROBADO
ALVARO OBREGON,AMPLIACION ESTADO DE HIDALGO,1520,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,Profesionistas,ING ELECTRONICA Y DE COMUNICACIONES,PERSONA CASADA,CON DEPENDIENTES,2,0 A 3 MESES,APROBADO
ALVARO OBREGON,AMPLIACION JALALPA,1296,POBLACION GENERAL,BACHILLERATO,TRUNCO,NA,NA,NA,NA,NA,NA,NO APROBADO
ALVARO OBREGON,AMPLIACION JALALPA,1296,POBLACION GENERAL,BACHILLERATO,CONCLUIDO,NA,NA,PERSONA SOLTERA,SIN DEPENDIENTES,0,0 A 3 MESES,APROBADO
ALVARO OBREGON,AMPLIACION JALALPA,1296,POBLACION GENERAL,BACHILLERATO,CONCLUIDO,NA,NA,NA,NA,NA,NA,NO APROBADO
ALVARO OBREGON,AMPLIACION JALALPA,1296,POBLACION GENERAL,BACHILLERATO,CONCLUIDO,NA,NA,PERSONA SOLTERA,CON DEPENDIENTES,1,3 A 6 MESES,APROBADO
ALVARO OBREGON,AMPLIACION JALALPA,1296,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,NA,NA,NA,NA,NA,NA,NO APROBADO
ALVARO OBREGON,AMPLIACION JALALPA,1296,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,Otros,NINGUNA,PERSONA SOLTERA,CON DEPENDIENTES,2,3 A 6 MESES,APROBADO
ALVARO OBREGON,AMPLIACION JALALPA,1296,POBLACION GENERAL,TECNICA/COMERCIAL,CONCLUIDO,NA,NA,NA,NA,NA,NA,NO APROBADO
ALVARO OBREGON,AMPLIACION LA CEBADA,1259,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,NA,NA,NA,NA,NA,NA,NO APROBADO
ALVARO OBREGON,AMPLIACION LA MEXICANA,1260,POBLACION GENERAL,BACHILLERATO,TRUNCO,Otros,CONDUCTORES DE TRANSPORTE TERRESTRE CON MOTOR,PERSONA CASADA,CON DEPENDIENTES,1,NA,NO APROBADO
ALVARO OBREGON,AMPLIACION LA MEXICANA,1260,POBLACION GENERAL,BACHILLERATO,CONCLUIDO,NA,NA,NA,NA,NA,NA,NO APROBADO
ALVARO OBREGON,AMPLIACION LA MEXICANA,1260,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,Profesionistas,LIC EN ADMON,PERSONA SOLTERA,CON DEPENDIENTES,2,0 A 3 MESES,APROBADO
ALVARO OBREGON,AMPLIACION LA MEXICANA,1260,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,Otros,NINGUNA,PERSONA CASADA,CON DEPENDIENTES,3,3 A 6 MESES,APROBADO
ALVARO OBREGON,AMPLIACION LAS AGUILAS,1759,POB. PRIOR. PRE Y LIBERADOS,BACHILLERATO,TRUNCO,NA,NA,PERSONA SOLTERA,CON DEPENDIENTES,3,0 A 3 MESES,APROBADO
ALVARO OBREGON,AMPLIACION LAS AGUILAS,1759,POBLACION GENERAL,BACHILLERATO,CONCLUIDO,Otros,NINGUNO,PERSONA SOLTERA,CON DEPENDIENTES,3,0 A 3 MESES,APROBADO
ALVARO OBREGON,AMPLIACION LAS AGUILAS,1759,POBLACION GENERAL,BACHILLERATO,TRUNCO,NA,NA,NA,NA,NA,NA,NO APROBADO
ALVARO OBREGON,AMPLIACION LAS AGUILAS,1759,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,Profesionistas,MERCADOTECNIA,PERSONA SOLTERA,SIN DEPENDIENTES,0,0 A 3 MESES,APROBADO
ALVARO OBREGON,AMPLIACION LAS AGUILAS,1759,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,NA,NA,NA,NA,NA,NA,NO APROBADO
ALVARO OBREGON,AMPLIACION LAS AGUILAS,1759,POBLACION GENERAL,LICENCIATURA,TRUNCO,Profesionistas,SISTEMAS DE COMPUTACION,PERSONA CASADA,CON DEPENDIENTES,1,0 A 3 MESES,APROBADO
ALVARO OBREGON,AMPLIACION LAS AGUILAS,1759,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,Profesionistas,SISTEMAS ADVOS,PERSONA SOLTERA,CON DEPENDIENTES,1,3 A 6 MESES,APROBADO
ALVARO OBREGON,AMPLIACION LAS AGUILAS,1759,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,NA,NA,PERSONA CASADA,CON DEPENDIENTES,2,0 A 3 MESES,APROBADO
ALVARO OBREGON,AMPLIACION LAS AGUILAS,1759,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,NA,NA,NA,NA,NA,NA,APROBADO
ALVARO OBREGON,AMPLIACION LAS AGUILAS,1759,POBLACION GENERAL,TECNICA/COMERCIAL,CONCLUIDO,Profesionistas,INFORMATICA,PERSONA CASADA,CON DEPENDIENTES,3,0 A 3 MESES,APROBADO
ALVARO OBREGON,AMPLIACION PILOTO ADOLFO LOPEZ MATEOS,1298,POBLACION GENERAL,BACHILLERATO,TRUNCO,NA,NA,NA,NA,NA,NA,NO APROBADO
ALVARO OBREGON,AMPLIACION PILOTO ADOLFO LOPEZ MATEOS,1298,POBLACION GENERAL,BACHILLERATO,TRUNCO,Profesionistas,NO APLICA,PERSONA CASADA,CON DEPENDIENTES,3,3 A 6 MESES,APROBADO
ALVARO OBREGON,AMPLIACION PILOTO ADOLFO LOPEZ MATEOS,1298,POBLACION GENERAL,BACHILLERATO,TRUNCO,Otros,NINGUNA,PERSONA SOLTERA,CON DEPENDIENTES,1,3 A 6 MESES,APROBADO
ALVARO OBREGON,AMPLIACION PILOTO ADOLFO LOPEZ MATEOS,1298,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,NA,NA,NA,NA,NA,NA,NO APROBADO
ALVARO OBREGON,AMPLIACION PILOTO ADOLFO LOPEZ MATEOS,1298,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,Otros,NINGUNA,PERSONA CASADA,CON DEPENDIENTES,3,0 A 3 MESES,APROBADO
ALVARO OBREGON,AMPLIACION PILOTO ADOLFO LOPEZ MATEOS,1298,POBLACION GENERAL,SECUNDARIA,TRUNCO,NA,NA,NA,SIN DEPENDIENTES,0,NA,APROBADO
ALVARO OBREGON,AMPLIACION PILOTO ADOLFO LOPEZ MATEOS,1298,POBLACION GENERAL,SECUNDARIA,TRUNCO,NA,NA,NA,NA,NA,NA,NO APROBADO
ALVARO OBREGON,AMPLIACION PILOTO ADOLFO LOPEZ MATEOS,1298,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,Otros,NINGUNO,PERSONA SOLTERA,CON DEPENDIENTES,1,6 MESES A 1 AÑO,APROBADO
ALVARO OBREGON,AMPLIACION PILOTO ADOLFO LOPEZ MATEOS,1298,POB. PRIORITARIA INDIGENAS,SECUNDARIA,TRUNCO,NA,NA,NA,NA,NA,NA,APROBADO
ALVARO OBREGON,AMPLIACION PILOTO ADOLFO LOPEZ MATEOS,1298,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,NA,NA,NA,NA,NA,NA,NO APROBADO
ALVARO OBREGON,AMPLIACION PILOTO ADOLFO LOPEZ MATEOS,1298,POBLACION GENERAL,TECNICA/COMERCIAL,CONCLUIDO,Otros,NINGUNA,PERSONA SOLTERA,CON DEPENDIENTES,2,0 A 3 MESES,APROBADO
ALVARO OBREGON,AMPLIACION PILOTO ADOLFO LOPEZ MATEOS,1298,POBLACION GENERAL,TECNICA/COMERCIAL,CONCLUIDO,Profesionistas,"OTRAS SECRETARIAS, CAPTURISTAS, CAJEROS Y TRABAJADORES QUE BRINDAN INFORMACION, NO CLASIFICADOS ANTERIORMENTE",PERSONA CASADA,CON DEPENDIENTES,3,NA,NO APROBADO
ALVARO OBREGON,AMPLIACION TEPEACA,1550,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,Otros,CIENCIAS POLITICAS Y ADMINISTRACION PUBLICA,PERSONA CASADA,CON DEPENDIENTES,3,3 A 6 MESES,APROBADO
ALVARO OBREGON,AMPLIACION TEPEACA,1550,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,NA,NA,NA,NA,NA,0 A 3 MESES,APROBADO
ALVARO OBREGON,AMPLIACION TLACUITLAPA,1650,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,NA,NA,NA,NA,NA,NA,APROBADO
ALVARO OBREGON,AMPLIACION TLACUITLAPA,1740,POBLACION GENERAL,LICENCIATURA,TRUNCO,NA,NA,NA,NA,NA,NA,APROBADO
ALVARO OBREGON,AMPLIACION TLACUITLAPA,1650,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,NA,NA,NA,NA,NA,NA,APROBADO
ALVARO OBREGON,AMPLIACION TLACUITLAPA,1650,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,NA,NA,NA,NA,NA,NA,NO APROBADO
ALVARO OBREGON,AMPLIACION TLACUITLAPA,1650,POBLACION GENERAL,TECNICA/COMERCIAL,CONCLUIDO,Otros,NINGUNA,PERSONA SOLTERA,SIN DEPENDIENTES,0,3 A 6 MESES,APROBADO
ALVARO OBREGON,AMPLIACION TLACUITLAPA,SIN DATO,POBLACION GENERAL,TECNICA/COMERCIAL,TRUNCO,NA,NA,NA,NA,NA,NA,APROBADO
ALVARO OBREGON,ARTURO MARTINEZ,1200,POBLACION GENERAL,BACHILLERATO,TRUNCO,NA,NA,NA,NA,NA,0 A 3 MESES,APROBADO
ALVARO OBREGON,ARTURO MARTINEZ,1200,POBLACION GENERAL,BACHILLERATO,CONCLUIDO,NA,NA,NA,NA,NA,NA,APROBADO
ALVARO OBREGON,ARTURO MARTINEZ,1200,POBLACION GENERAL,LICENCIATURA,TRUNCO,Comercio,EMPLEADOS DE VENTAS Y VENDEDORES POR TELEFONO,PERSONA SOLTERA,SIN DEPENDIENTES,0,NA,APROBADO
ALVARO OBREGON,ARTURO MARTINEZ,1200,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,NA,NA,NA,NA,NA,NA,NO APROBADO
ALVARO OBREGON,ARTURO MARTINEZ,1200,POBLACION GENERAL,LICENCIATURA,CONCLUIDO,NA,NA,NA,NA,NA,NA,APROBADO
ALVARO OBREGON,ARTURO MARTINEZ,1200,POBLACION GENERAL,TECNICA/COMERCIAL,CONCLUIDO,Otros,ADMINISTRACION DE EMPRESAS TURISTICAS,PERSONA CASADA,CON DEPENDIENTES,3,3 A 6 MESES,APROBADO
ALVARO OBREGON,ARVIDE,1280,POBLACION GENERAL,BACHILLERATO,CONCLUIDO,NA,NA,NA,NA,NA,NA,NO APROBADO
ALVARO OBREGON,ARVIDE,1280,POBLACION GENERAL,BACHILLERATO,TRUNCO,NA,NA,NA,NA,NA,NA,NO APROBADO
ALVARO OBREGON,ARVIDE,1280,POBLACION GENERAL,BACHILLERATO,CONCLUIDO,NA,NA,NA,NA,NA,NA,NO APROBADO
ALVARO OBREGON,ARVIDE,SIN DATO,POBLACION GENERAL PROCURADURIA,PRIMARIA,CONCLUIDO,NA,NA,PERSONA SOLTERA,CON DEPENDIENTES,2,3 A 6 MESES,APROBADO
ALVARO OBREGON,ARVIDE,1280,POBLACION GENERAL,SECUNDARIA,CONCLUIDO,NA,NA,NA,NA,NA,NA,NO APROBADO
ALVARO OBREGON,ARVIDE,SIN DATO,POBLACION GENERAL PROCURADURIA,SECUNDARIA,CONCLUIDO,NA,NA,PERSONA SOLTERA,CON DEPENDIENTES,2,3 A 6 MESES,APROBADO
ALVARO OBREGON,ARVIDE,1280,POBLACION GENERAL,TECNICA/COMERCIAL,CONCLUIDO,NA,NA,NA,NA,NA,NA,NO APROBADO
